veidarfaeri  gear
1  101
16  101 
32  101 
71  101 
11  102 
2  102 
25  102 
29  102 
72  102 
3  103 
26  105 
35  105 
4  105 
5  105 
80  105 
22  106 
28  106 
59  106 
6  106 
60  106 
61  106 
62  106 
63  106 
64  106 
65  106 
70  106 
73  106 
74  106 
76  106 
77  106 
78  106 
79  106 
13  107 
21  107 
23  107 
24  107 
7  107 
8  107 
9  109 
10  110 
12  110 
14  114 
30  114 
15  115 
40  115 
41  115 
17  117 
18  117 
20  120 
99  120 
33  107 
34  107 
66  106 
68  106 
75  106 
19  120 
31  120
