a;faeduhopur;id;name;description
1;gast ova;5.1e+09;GAS;NA (Gastropoda)
2;gastropo;5.1e+09;GAS;NA (Gastropoda)
3;glyp cyn;8857040502;WIT;Witch (Glyptocephalus Cynoglossus)
4;gymn vir;8793010000;EPX;Eel-Pouts (Zoarcidae)
5;heteroso;8.857e+09;FFX;Flatfishes (Pleuronectoidei)
6;hipp hip;8857041902;HAL;Halibut (Hippoglossus Hippoglossus)
7;hipp pla;8857040603;PLA;American Plaice (Lr Dab) (Hippoglossoides Platessoides)
8;holothur;8.17e+09;HTZ;Sea Cucumbers (Holothuroidea)
9;hyas coa;6187010202;HYC;Contracted Crab (Hyas Coarctatuss)
10;hydrozoa;3.701e+09;HZX;NA (Hydrozoa)
11;hyperiid;6170010000;HYZ;NA (Hyperiidae)
12;lepi whi;8857032302;MEG;Megrim (Lepidorhombus Whiffiagonis)
13;lept mac;8842121801;SNB;Spotted Snake Blenny (Leptoclinus Maculatus)
14;lima lim;8857040904;DAB;Dab (Limanda Limanda)
15;liparidx;8831090000;CYW;NA (Cyclopteridae)
16;lith maj;6183080803;LDM;Stone Crab (Lithodes Maja)
17;lump lam;8842120905;SBY;Snake Blenny (Lumpenus Lampretaeformis)
18;lumpenix;8842120000;SHZ;NA (Stichaeidae)
19;lyce mur;8793010000;EPX;Eel-Pouts (Zoarcidae)
20;lyco vah;8793010724;VLP;Vahl'S Eelpout (Lycodes Vahlii)
21;lycodesz;8793010700;POU;Eelpouts (Lycodes spp.)
22;macr hol;6189010905;MPT;NA (Macropipus Tuberculatus)
23;mega nor;6174020201;MPN;NA (Meganyctiphanes Norvegica)
24;mela aeg;8791031301;HAD;Haddock (Melanogrammus Aeglefinus)
25;merl mer;8791031801;WHG;Whiting (Merlangius Merlangus)
26;micr kit;8857041202;LEM;Lemon Sole (Microstomus Kitt)
27;micr pou;8791032201;WHB;Blue Whiting (Micromesistius Poutassou)
28;mollusca;5.085e+09;MOL;Molluscs (Mollusca)
29;molv dyp;8791031902;BLI;Blue Ling (Molva Dypterygia)
30;molv mol;8791031901;LIN;Common Ling (Molva Molva)
31;myctophx;8762140000;MYX;Lantern Fishes (Myctophidae)
32;natantia;6.176e+09;DCP;(Natantia) (Dendrobranchiata)
33;neph nor;6181010301;NEP;Norway Lobster (Nephrops Norvegicus)
34;nudibran;5.127e+09;NBX;NA (Nudibranchia)
35;omma sag;5707150301;SQI;Northern Shortfin Squid (Illex (Loligo) Illecebrosus)
36;onog arg;8791032402;NNR;Northern Rockling (Ciliata Septentrionalis)
37;ophiuroi;8.12e+09;BSY;Brittle-Stars (Ophiuroidea)
38;pagu ber;6183060228;PEB;Hermit Crab (Pagurus Bernhardus)
39;pagu pub;6183060234;PEP;NA (Pagurus Pubescens)
40;paguridx;6183060000;PAY;Hermit Crabs (Paguridae)
41;pand bor;6179180101;PRA;Northern Pink Shrimp (Pandalus Borealis)
42;pand mon;6179180104;PRM;Pink Shrimp (Pandalus Montagui)
43;para bat;8831090800;LPS;Sea Snails (Liparis Spp)
44;phalopod;9999999999;TBX;Tube Worms (Tubeworms)
45;pisc ova;9999999999;TBX;Tube Worms (Tubeworms)
46;plankton;6.1e+09;CRU;Marine Crustaceans (Crustacea)
47;plen pla;8857041502;PLE;European Plaice (Pleuronectes Platessa)
48;pleuronx;8857040000;PNX;Right Eyed Flatfish (Pleuronectidae)
49;poll vir;8791030901;POK;Saithe (Pollachius Virens)
50;polychae;5.001e+09;BWX;Bristle Worms (Polychaeta)
51;polyplac;5.3e+09;PLX;NA (Polyplacophora)
52;pont nor;6179220606;PTN;NA (Pontophilus Norvegicus)
53;porifera;3.6e+09;PFZ;Sponges (Porifera)
54;priapuli;7.4e+09;PRZ;NA (Priaptulida)
55;raja ova;8713040134;SYR;Starry Ray (Raja Radiata)
56;raja rad;8713040134;SYR;Starry Ray (Raja Radiata)
57;rajidaex;8713040000;SKA;Skates And Rays (Rajidae)
58;rein hip;8857041801;GLH;Greenland Halibut (Reinhardtius Hippoglossoides)
59;rhin cim;8791031501;FRR;Four-Bearded Rockling (Enchelyopus Cimbrius)
60;ross gla;5704020104;ROM;NA (Rossia Macrosoma)
